subject,group,contrast,condition,mask,peak,mean
sub-009,expert,7,bnw,v1,17.9658870697021,-1.59961448059647
sub-009,expert,8,bfs,v1,15.2618236541748,-0.598635265729772
sub-010,control,1,frw,v1,16.3259220123291,-0.475055931814155
sub-010,control,2,fpw,v1,17.9266166687012,-0.794278047115237
sub-010,control,3,fnw,v1,24.6158790588379,0.923867021784575
sub-010,control,4,ffs,v1,20.9523773193359,0.766029595209722
sub-010,control,5,brw,v1,17.2813606262207,-2.15080362936405
sub-010,control,6,bpw,v1,18.3941307067871,-1.05413233684795
sub-010,control,7,bnw,v1,16.8102436065674,-1.41266089292276
sub-010,control,8,bfs,v1,16.6002864837646,-1.56722132616845
sub-011,control,1,frw,v1,13.9102621078491,-0.86758714392333
sub-011,control,2,fpw,v1,15.1280250549316,0.327354609544632
sub-011,control,3,fnw,v1,15.5245971679688,-0.90910433784994
sub-011,control,4,ffs,v1,13.9304723739624,-2.4078885403841
sub-011,control,5,brw,v1,15.8908653259277,-2.68453855168431
sub-011,control,6,bpw,v1,15.4003276824951,-1.54681960785043
sub-011,control,7,bnw,v1,15.4647188186646,-2.97741426796324
sub-011,control,8,bfs,v1,16.7375717163086,-2.7014625432861
sub-012,expert,1,frw,v1,12.6755046844482,-0.699860742502106
sub-012,expert,2,fpw,v1,12.9467620849609,-0.731407990003213
sub-012,expert,3,fnw,v1,13.0450773239136,0.121603541523929
sub-012,expert,4,ffs,v1,13.5613117218018,-0.757324003698829
sub-012,expert,5,brw,v1,13.9796810150146,-0.444489045977531
sub-012,expert,6,bpw,v1,15.3230657577515,-0.843782410437585
sub-012,expert,7,bnw,v1,15.6301193237305,0.099639965056358
sub-012,expert,8,bfs,v1,13.5089616775513,0.272564019349133
sub-013,expert,1,frw,v1,16.2500152587891,-0.223116194213575
sub-013,expert,2,fpw,v1,15.9316730499268,-0.443754836334478
sub-013,expert,3,fnw,v1,20.0179576873779,-0.584581931231538
sub-013,expert,4,ffs,v1,18.9863967895508,-1.39465123532795
sub-013,expert,5,brw,v1,24.6696891784668,-0.53729038314314
sub-013,expert,6,bpw,v1,25.3318748474121,-1.43630389976553
sub-013,expert,7,bnw,v1,23.2613792419434,-1.00230937905372
sub-013,expert,8,bfs,v1,23.2124137878418,-0.91646953742359
sub-018,control,1,frw,v1,15.9829139709473,0.120520789178512
sub-018,control,2,fpw,v1,17.0247611999512,0.461451840432946
sub-018,control,3,fnw,v1,18.0249004364014,0.163927968195979
sub-018,control,4,ffs,v1,18.9163036346436,-0.0181985196756393
sub-018,control,5,brw,v1,15.0005826950073,-0.0513138171203406
sub-018,control,6,bpw,v1,16.3035488128662,0.206506453401042
sub-018,control,7,bnw,v1,15.8690757751465,0.924409250481357
sub-018,control,8,bfs,v1,17.0138263702393,0.471653995465103
sub-019,control,1,frw,v1,14.7067165374756,-1.68793302826776
sub-019,control,2,fpw,v1,16.1688842773438,-2.16657322949003
sub-019,control,3,fnw,v1,15.9509449005127,-2.96014352405693
sub-019,control,4,ffs,v1,14.887622833252,-2.86279994363651
sub-019,control,5,brw,v1,12.0851335525513,-4.46795720636061
sub-019,control,6,bpw,v1,14.8932037353516,-4.06506618008223
sub-019,control,7,bnw,v1,14.2553453445435,-3.74640486339146
sub-019,control,8,bfs,v1,13.091911315918,-3.71299419749205
sub-020,control,1,frw,v1,12.4018611907959,-2.09929588173638
sub-020,control,2,fpw,v1,13.6755723953247,-2.53488840562739
sub-020,control,3,fnw,v1,16.0453872680664,-1.68026907424613
