subject,condition,cluster,x,y
006,fw,french_expert,0.0686729338133811,0.110544965696467
006,fw,french_expert,0.00616136048738194,0.0238695695989223
006,fw,french_expert,-0.065761141731625,-0.0280497846357392
006,fw,french_expert,-0.0954727376753635,-0.00794019686028937
006,fw,french_expert,-0.0879688330116647,0.00549783360129356
006,fw,french_expert,-0.0690617298771,-0.0085222248088513
006,fw,french_expert,-0.0600135673470763,-0.00605992671498335
006,fw,french_expert,-0.0678803777398084,0.0121116436887733
006,fw,french_expert,-0.0569995661091712,0.00895779998867138
006,fw,french_expert,-0.0125026229220828,-0.0140702720341659
006,fw,french_expert,0.0153914668798284,-0.0344794605206111
006,fw,french_expert,-0.00147643561684367,-0.042329855730256
006,fw,french_expert,-0.0426332381065902,-0.0363706037762466
006,fw,french_expert,-0.0738706540938203,-0.0269616953766367
006,fw,french_expert,-0.0864404578410235,-0.0152318599485529
006,fw,french_expert,-0.077622979456831,-0.000236636363627637
006,fw,french_expert,-0.035699577797997,0.0211887359056027
006,fw,french_expert,0.0190840655979484,0.0322188661306472
006,fw,french_expert,0.0751213857553278,0.027504319540052
006,fw,french_expert,0.104519222680056,0.02391423578932
006,fw,french_expert,0.0668201412763944,-0.00309649707531259
006,fw,french_expert,-0.019183607989983,-0.052017499065324
006,fw,french_expert,-0.101017910368175,-0.0814284415202523
006,fw,french_expert,-0.126978020971615,-0.0667761206024217
006,fw,french_expert,-0.105542801425421,-0.0469961374779844
006,fw,french_expert,-0.084499245008558,-0.0422687406919233
006,fw,french_expert,-0.0763140212240875,-0.0263463373900161
006,fw,french_expert,-0.0689621210768807,-0.00706357245111652
006,fw,french_expert,-0.0265660952758892,-0.0153887364317888
006,fw,french_expert,0.0247915927271506,-0.0339279940488171
006,fw,french_expert,0.0516730157226822,-0.0393366767620478
006,fw,french_expert,0.212309077198055,-0.0549706143709536
006,fw,french_expert,0.484710637661799,-0.101962936019144
006,fw,french_expert,0.779534057734132,-0.169082626971481
006,fw,french_expert,0.999855018377461,-0.180915030393244
006,fw,french_expert,1.0817140982874,0.0901779824248155
006,fw,french_expert,1.03510245957142,0.593939446621369
006,fw,french_expert,0.757650308145772,0.75212795593796
006,fw,french_expert,0.379702939915887,0.519252442534991
006,fw,french_expert,0.0482435869447309,0.212147893581672
