subject,task,run,mask,tSNR
sub-012,wordsDecoding,005,vwfa-roi,58.93672791824
sub-012,wordsDecoding,006,whole-brain,12.4323386197369
sub-012,wordsDecoding,006,vwfa-roi,59.8680734209298
sub-012,wordsDecoding,007,whole-brain,13.3083273460033
sub-012,wordsDecoding,007,vwfa-roi,66.4609303039334
sub-012,wordsDecoding,008,whole-brain,12.3901398414909
sub-012,wordsDecoding,008,vwfa-roi,62.1209045426575
sub-012,wordsDecoding,009,whole-brain,12.7376605572774
sub-012,wordsDecoding,009,vwfa-roi,64.027468489297
sub-012,wordsDecoding,010,whole-brain,13.3152119097271
sub-012,wordsDecoding,010,vwfa-roi,63.5611444066671
sub-012,wordsDecoding,011,whole-brain,14.3709858385604
sub-012,wordsDecoding,011,vwfa-roi,66.2011068680171
sub-012,wordsDecoding,012,whole-brain,13.6272947509536
sub-012,wordsDecoding,012,vwfa-roi,64.7890278674754
sub-013,visualLocalizer,001,whole-brain,12.7395028183827
sub-013,visualLocalizer,001,vwfa-roi,57.6137847199169
sub-013,visualLocalizer,002,whole-brain,12.7045979754746
sub-013,visualLocalizer,002,vwfa-roi,58.9622766649601
sub-013,wordsDecoding,001,whole-brain,14.0609120131098
sub-013,wordsDecoding,001,vwfa-roi,67.9271495221471
sub-013,wordsDecoding,002,whole-brain,12.4500795084537
sub-013,wordsDecoding,002,vwfa-roi,63.5103923545124
sub-013,wordsDecoding,003,whole-brain,13.6314424655331
sub-013,wordsDecoding,003,vwfa-roi,64.7639743211607
sub-013,wordsDecoding,004,whole-brain,13.3976560566651
sub-013,wordsDecoding,004,vwfa-roi,65.6851011701765
sub-013,wordsDecoding,005,whole-brain,13.1910312067767
sub-013,wordsDecoding,005,vwfa-roi,66.8341145013536
sub-013,wordsDecoding,006,whole-brain,12.7665387217773
sub-013,wordsDecoding,006,vwfa-roi,66.1962727613011
sub-013,wordsDecoding,007,whole-brain,12.8462944021387
sub-013,wordsDecoding,007,vwfa-roi,66.8262818820198
sub-013,wordsDecoding,008,whole-brain,11.888654147792
sub-013,wordsDecoding,008,vwfa-roi,63.4738025654395
sub-013,wordsDecoding,009,whole-brain,12.9405735638496
sub-013,wordsDecoding,009,vwfa-roi,66.7726831360587
sub-013,wordsDecoding,010,whole-brain,13.1132381449084
sub-013,wordsDecoding,010,vwfa-roi,66.8114979663118
sub-013,wordsDecoding,011,whole-brain,14.1851099725049
sub-013,wordsDecoding,011,vwfa-roi,68.9568027890238
sub-013,wordsDecoding,012,whole-brain,14.2973993369931
sub-013,wordsDecoding,012,vwfa-roi,69.7958231190465
sub-018,visualLocalizer,001,whole-brain,17.7333781900164
sub-018,visualLocalizer,001,vwfa-roi,63.2398143034436
sub-018,visualLocalizer,002,whole-brain,18.2490000709611
sub-018,visualLocalizer,002,vwfa-roi,65.5501560664561
sub-018,wordsDecoding,001,whole-brain,20.5511419097273
sub-018,wordsDecoding,001,vwfa-roi,70.0072127217698
sub-018,wordsDecoding,002,whole-brain,20.7533373116217
sub-018,wordsDecoding,002,vwfa-roi,68.0955263329709
sub-018,wordsDecoding,003,whole-brain,19.8101699630149
sub-018,wordsDecoding,003,vwfa-roi,66.2981816497663
sub-018,wordsDecoding,004,whole-brain,19.9333338836864
sub-018,wordsDecoding,004,vwfa-roi,67.168190887057
sub-018,wordsDecoding,005,whole-brain,20.0934223038191
sub-018,wordsDecoding,005,vwfa-roi,66.7356640733285
sub-018,wordsDecoding,006,whole-brain,20.696105158201
sub-018,wordsDecoding,006,vwfa-roi,70.3599807074856
sub-018,wordsDecoding,007,whole-brain,20.2591672638585
sub-018,wordsDecoding,007,vwfa-roi,67.5935179716906
sub-018,wordsDecoding,008,whole-brain,20.9910397381479
sub-018,wordsDecoding,008,vwfa-roi,69.2313783714855
sub-018,wordsDecoding,009,whole-brain,18.6844090499741
sub-018,wordsDecoding,009,vwfa-roi,68.0170074428503
sub-018,wordsDecoding,010,whole-brain,19.7264873388511
sub-018,wordsDecoding,010,vwfa-roi,70.4400083910586
sub-018,wordsDecoding,011,whole-brain,18.9211076410496
sub-018,wordsDecoding,011,vwfa-roi,65.7571370777371
sub-018,wordsDecoding,012,whole-brain,20.028209389815
sub-018,wordsDecoding,012,vwfa-roi,69.7470215343939
sub-019,visualLocalizer,001,whole-brain,13.2017049639423
sub-019,visualLocalizer,001,vwfa-roi,45.9599135185102
sub-019,visualLocalizer,002,whole-brain,12.6998622058004
sub-019,visualLocalizer,002,vwfa-roi,45.0936370548835
sub-019,wordsDecoding,001,whole-brain,14.0457126192771
sub-019,wordsDecoding,001,vwfa-roi,46.8930905220552
sub-019,wordsDecoding,002,whole-brain,12.4221134814161
sub-019,wordsDecoding,002,vwfa-roi,44.7783625639612
sub-019,wordsDecoding,003,whole-brain,11.179354280901
sub-019,wordsDecoding,003,vwfa-roi,39.7526278272603
sub-019,wordsDecoding,004,whole-brain,14.1622601695726
sub-019,wordsDecoding,004,vwfa-roi,45.6822311777642
sub-019,wordsDecoding,005,whole-brain,11.0527747423602
sub-019,wordsDecoding,005,vwfa-roi,41.666861553522
sub-019,wordsDecoding,006,whole-brain,12.3345994445998
sub-019,wordsDecoding,006,vwfa-roi,41.7831526495446
sub-019,wordsDecoding,007,whole-brain,11.8366155547966
sub-019,wordsDecoding,007,vwfa-roi,39.904046924404
sub-019,wordsDecoding,008,whole-brain,12.9222265924255
sub-019,wordsDecoding,008,vwfa-roi,39.7011472683776
sub-019,wordsDecoding,009,whole-brain,10.6019868039286
sub-019,wordsDecoding,009,vwfa-roi,38.0081653773993
sub-019,wordsDecoding,010,whole-brain,12.5865187530816
sub-019,wordsDecoding,010,vwfa-roi,42.0489084285267
sub-019,wordsDecoding,011,whole-brain,10.7066671139964
sub-019,wordsDecoding,011,vwfa-roi,37.5635462523739
sub-019,wordsDecoding,012,whole-brain,10.8981915302192
sub-019,wordsDecoding,012,vwfa-roi,40.0777004483535
sub-020,visualLocalizer,001,whole-brain,15.5266848282089
sub-020,visualLocalizer,001,vwfa-roi,60.9670842444571
sub-020,visualLocalizer,002,whole-brain,14.54040377854
sub-020,visualLocalizer,002,vwfa-roi,69.0628300178214
sub-020,wordsDecoding,001,whole-brain,15.9121556798712
sub-020,wordsDecoding,001,vwfa-roi,78.425691790071
sub-020,wordsDecoding,002,whole-brain,15.9388488075022
sub-020,wordsDecoding,002,vwfa-roi,85.5114227619489
sub-020,wordsDecoding,003,whole-brain,13.5082401946367
sub-020,wordsDecoding,003,vwfa-roi,70.7078858772579
sub-020,wordsDecoding,004,whole-brain,16.1088761816551
sub-020,wordsDecoding,004,vwfa-roi,57.5853120821963
sub-020,wordsDecoding,005,whole-brain,14.8218606122861
sub-020,wordsDecoding,005,vwfa-roi,56.6669606003925
sub-020,wordsDecoding,006,whole-brain,13.6399787347677
sub-020,wordsDecoding,006,vwfa-roi,41.0082517498937
sub-020,wordsDecoding,007,whole-brain,1626298123.36574
sub-020,wordsDecoding,007,vwfa-roi,46.0883739829197
sub-020,wordsDecoding,008,whole-brain,13.7919888121637
sub-020,wordsDecoding,008,vwfa-roi,56.1477078415308
sub-020,wordsDecoding,009,whole-brain,16812375047.2228
sub-020,wordsDecoding,009,vwfa-roi,40.5317180509091
sub-020,wordsDecoding,010,whole-brain,3254281685.02873
sub-020,wordsDecoding,010,vwfa-roi,52.9929662834543
sub-020,wordsDecoding,011,whole-brain,1626840720.09995
sub-020,wordsDecoding,011,vwfa-roi,60.4277494327291
sub-020,wordsDecoding,012,whole-brain,1627343939.80486
sub-020,wordsDecoding,012,vwfa-roi,64.4443307099739
sub-021,visualLocalizer,001,whole-brain,12.9110584427258
sub-021,visualLocalizer,001,vwfa-roi,54.0803477513637
sub-021,visualLocalizer,002,whole-brain,13.258318915464
sub-021,visualLocalizer,002,vwfa-roi,56.9207960453398
sub-021,wordsDecoding,001,whole-brain,16.3712628360594
sub-021,wordsDecoding,001,vwfa-roi,74.6548860404521
sub-021,wordsDecoding,002,whole-brain,15.8640964662352
sub-021,wordsDecoding,002,vwfa-roi,72.0049352064545
sub-021,wordsDecoding,003,whole-brain,11.9139345831507
sub-021,wordsDecoding,003,vwfa-roi,61.9280942696695
sub-021,wordsDecoding,004,whole-brain,16.0383425541883
sub-021,wordsDecoding,004,vwfa-roi,72.7903625254409
sub-021,wordsDecoding,005,whole-brain,13.9794129012583
sub-021,wordsDecoding,005,vwfa-roi,68.7539623206047
sub-021,wordsDecoding,006,whole-brain,15.2248207573496
sub-021,wordsDecoding,006,vwfa-roi,68.9385689693526
sub-021,wordsDecoding,007,whole-brain,14.5833160584785
sub-021,wordsDecoding,007,vwfa-roi,67.3900966742726
sub-021,wordsDecoding,008,whole-brain,13.0539044339367
sub-021,wordsDecoding,008,vwfa-roi,60.5526068203559
sub-021,wordsDecoding,009,whole-brain,15.2168523340253
sub-021,wordsDecoding,009,vwfa-roi,70.5550258534623
sub-021,wordsDecoding,010,whole-brain,14.3895693571849
sub-021,wordsDecoding,010,vwfa-roi,65.3977484160934
sub-021,wordsDecoding,011,whole-brain,14.0751237948281
sub-021,wordsDecoding,011,vwfa-roi,66.7246890878698
sub-021,wordsDecoding,012,whole-brain,16.5324908869047
sub-021,wordsDecoding,012,vwfa-roi,72.2978703338014
sub-022,visualLocalizer,001,whole-brain,17.9663465129644
sub-022,visualLocalizer,001,vwfa-roi,73.9779365681048
sub-022,visualLocalizer,002,whole-brain,14.2012007168203
sub-022,visualLocalizer,002,vwfa-roi,69.1216007606614
sub-022,wordsDecoding,001,whole-brain,18.7191783653629
sub-022,wordsDecoding,001,vwfa-roi,74.8542616684953
sub-022,wordsDecoding,002,whole-brain,18.5865684597033
sub-022,wordsDecoding,002,vwfa-roi,68.5534589063625
sub-022,wordsDecoding,003,whole-brain,17.2155913250762
sub-022,wordsDecoding,003,vwfa-roi,69.9328017785414
sub-022,wordsDecoding,004,whole-brain,15.1284579911927
sub-022,wordsDecoding,004,vwfa-roi,59.1927445133577
sub-022,wordsDecoding,005,whole-brain,17.0967697772665
sub-022,wordsDecoding,005,vwfa-roi,60.8108067587092
sub-022,wordsDecoding,006,whole-brain,1630795388.33843
sub-022,wordsDecoding,006,vwfa-roi,55.9934214725623
sub-022,wordsDecoding,007,whole-brain,15.5470182227159
sub-022,wordsDecoding,007,vwfa-roi,52.253536791565
sub-022,wordsDecoding,008,whole-brain,16.4410645327167
sub-022,wordsDecoding,008,vwfa-roi,52.1456006159245
sub-022,wordsDecoding,009,whole-brain,14.5218997555471
sub-022,wordsDecoding,009,vwfa-roi,46.6132367262581
